Time (us),ADC1,ADC2
967683,1.811,2.280
969206,0.488,0.074
970910,2.370,1.972
972425,0.128,0.597
973963,2.141,1.575
975465,0.292,0.860
977008,1.862,1.214
978511,0.562,1.215
980050,1.613,0.914
981576,1.063,1.730
983088,1.327,0.649
984615,1.338,1.963
986130,0.986,0.381
987660,1.667,2.198
989186,0.603,0.121
990693,1.900,2.325
992221,0.391,0.033
993916,2.354,1.937
995419,0.105,0.550
996953,2.178,1.631
998449,0.223,0.750
999988,1.999,1.376
